eui,devAddr,node uplink count,node downlink count,lns uplink count
24e124136c1919bd,fc00a97c,1177,1264,
24e124136c191a29,fc00ab3b,1177,1298,
24e124136c1919f3,fc00a921,1177,1253,
24e124136c1919de,fc00aae2,1177,0,
24e124136c191a41,fc00aa14,1177,1216,
24e124136c191a0b,fc00a96b,1177,0,
24e124136c1919d2,fc00aac4,1177,0,
24e124136c1919fc,fc00aba5,1177,1248,
24e124136c191a5b,fc00ab51,1177,0,
24e124136c1919ac,fc00aa5a,1177,1250,
24e124136c191a05,fc00a86c,1177,1214,
24e124136c1919d4,fc00ab9c,1177,1213,
24e124136c191a1e,fc00a854,1177,1223,
24e124136c1919c4,fc00a92f,1177,1262,
24e124136c1919b5,fc00a9db,1177,1201,
24e124136c1919e8,fc00aa9e,1177,0,
24e124136c191a22,fc00a907,1177,0,
24e124136c1919e6,fc00aadc,1177,0,
24e124136c191a47,fc00a824,1177,0,
24e124136c1919b4,fc00a8b4,1177,1233,
24e124136c1919c1,fc00abc4,1177,1305,
24e124136c1919d9,fc00a99d,1177,0,
24e124136c191a5f,fc00aac3,1177,1262,
24e124136c1919b9,fc00aa0e,1177,0,
24e124136c191a18,fc00a85d,1177,0,
24e124136c1919f4,fc00a99f,1177,1218,
24e124136c19199c,fc00a8bf,1177,0,
24e124136c1919ff,fc00aa2a,1177,0,
24e124136c1919cc,fc00a937,1177,0,
24e124136c1919b1,fc00a8ca,1177,1256,
24e124136c19199d,fc00ab43,1177,0,
24e124136c191a46,fc00aa9b,1177,0,
24e124136c1919fe,fc00a9de,1177,1221,
24e124136c1919f6,fc00a864,1177,1272,
24e124136c1919b2,fc00aba0,1177,0,
24e124136c191a39,fc00a8ec,1177,1271,
24e124136c191a19,fc00a9a7,1177,1291,
24e124136c19199e,fc00ab41,1177,1214,
24e124136c19199a,fc00aa8e,1177,1212,
24e124136c1919c6,fc00aa5e,1177,0,
24e124136c1919bb,fc00a9a8,1177,0,
24e124136c191a4a,fc00ab0f,1177,1296,
24e124136c1919d8,fc00aad0,1177,1216,
24e124136c1919ce,fc00abdc,1177,0,
24e124136c19199f,fc00aad3,1177,0,
24e124136c191a01,fc00aaae,1177,1208,
24e124136c191a4c,fc00aad2,1177,1205,
24e124136c191a17,fc00a887,1177,1208,
24e124136c1919a7,fc00aabf,1177,1208,
24e124136c1919c2,fc00aa79,1177,0,
24e124136c1919a6,fc00a82f,1177,1184,
24e124136c191a5e,fc00ab96,1177,1249,
24e124136c1919a3,fc00a8b2,1177,0,
24e124136c1919c3,fc00aa6d,1177,1190,
24e124136c1919a0,fc00ab8e,1177,1189,
24e124136c191a3b,fc00aaa4,1177,1179,
24e124136c191a57,fc00ab65,1177,0,
24e124136c1919e7,fc00a8ef,1177,0,
24e124136c1919f1,fc00aabe,1177,1201,
24e124136c191a53,fc00a83d,1177,0,
24e124136c191a3a,fc00ab74,1177,1194,
24e124136c191a35,fc00aa65,1177,0,
24e124136c191a40,fc00aa47,1177,1199,
24e124136c1919e4,fc00a972,1177,1198,
24e124136c1919ef,fc00aa7d,1177,1193,
24e124136c191a1a,fc00aa33,1177,0,
24e124136c191a2a,fc00a846,1177,1194,
24e124136c191a25,fc00aa32,1177,0,
24e124136c1919a9,fc00ab31,1177,0,
24e124136c1919f0,fc00ab49,1177,1182,
24e124136c1919fd,fc00a861,1177,0,
24e124136c1919ad,fc00aa02,1177,1211,
24e124136c191a28,fc00a97e,1177,1176,
24e124136c1919ee,fc00aab5,1177,0,
24e124136c191a37,fc00aa35,1177,1176,
24e124136c191a61,fc00a98b,1177,1191,
24e124136c191a33,fc00aa84,1177,1178,
24e124136c191a58,fc00a88d,1177,1177,
24e124136c191a60,fc00a8fe,1176,1176,
24e124136c1919c5,fc00ab26,1176,1176,
24e124136c191a1d,fc00a889,1176,1176,
24e124136c191a2d,fc00ab3b,1176,1176,
24e124136c1919a4,fc00aaf9,1176,1176,
24e124136c1919aa,fc00a916,1176,1176,
24e124136c1919f7,fc00a985,1176,1177,
24e124136c191a03,fc00aa8b,1176,1177,
24e124136c191a2e,fc00a99e,1176,1176,
24e124136c1919ae,fc00a81a,1176,1175,
24e124136c191a49,fc00a8fc,1176,1175,
24e124136c1919a5,fc00ab7a,1176,1175,
24e124136c1919fa,fc00a89a,1176,1175,
24e124136c1919be,fc00a95d,1176,1174,
